prompt_id,identity_status,prompt_text
M-F1,moratorium,"My family has expectations for my future, but I'm trying to figure out whether those expectations fit who I want to become."
M-F2,moratorium,"I respect my family's opinions, but lately I've been questioning whether their path is the right one for me."
M-F3,moratorium,"Sometimes I feel torn between what my family wants and what I might want for myself."
M-F4,moratorium,"I'm trying to understand how much of my future should be influenced by my family's expectations."
M-F5,moratorium,"I don't want to disappoint my family, but I also want to make choices that feel authentic to me."
M-R1,moratorium,"I've been thinking a lot about what I want from friendships, but I'm still figuring it out."
M-R2,moratorium,"My friends influence me in different ways, and sometimes I struggle to separate who I am from who they expect me to be."
M-R3,moratorium,"I've been questioning what qualities matter most to me in close relationships."
M-R4,moratorium,"I want relationships that reflect who I am, but I'm still learning what that means."
M-R5,moratorium,"Sometimes I wonder whether the people around me are shaping my identity more than I realize."
M-S1,moratorium,"I've been asking myself who I really am, but I don't think I've found an answer yet."
M-S2,moratorium,"It feels like I'm in the middle of figuring out what kind of person I want to become."
M-S3,moratorium,"The more I learn about myself, the more questions I seem to have."
M-S4,moratorium,"I'm exploring different possibilities for my future, but I haven't found one that feels completely right."
M-S5,moratorium,"Sometimes it's frustrating not having clear answers about who I am, but I feel like the search is important."
A-C1,achievement,"After exploring different options, I've become confident in the direction I want to pursue for my future."
A-C2,achievement,"I've spent a lot of time thinking about my goals, and I feel good about the path I've chosen."
A-C3,achievement,"I know my plans could change someday, but right now they feel consistent with who I am."
A-C4,achievement,"Looking at different possibilities helped me understand what kind of future I truly want."
A-C5,achievement,"I feel committed to my goals because I've taken time to consider what matters most to me."
A-V1,achievement,"Some of my beliefs are different from the ones I grew up with, but they feel right because I've thought carefully about them."
A-V2,achievement,"I've spent time exploring different perspectives and now feel confident in the values I hold."
A-V3,achievement,"My beliefs continue to grow, but I feel grounded in the principles that guide my decisions."
A-V4,achievement,"Understanding different viewpoints helped me develop a clearer sense of what I stand for."
A-V5,achievement,"I feel comfortable explaining my values because I've spent time reflecting on them."
A-F1,achievement,"I respect my family's expectations, but I've also made choices that reflect my own goals and values."
A-F2,achievement,"Thinking about my family's influence helped me better understand what I genuinely want for myself."
A-F3,achievement,"I appreciate my family's guidance, but I feel confident making decisions that align with my own identity."
A-F4,achievement,"Some of my choices differ from what my family expected, and I'm comfortable with that."
A-F5,achievement,"I've found a balance between honoring my family's values and following my own path."
A-R1,achievement,"I have a clearer understanding of the qualities I value in close friendships."
A-R2,achievement,"The people I choose to spend time with reflect the kind of person I want to be."
A-R3,achievement,"My relationships feel stronger now that I better understand myself."
A-R4,achievement,"I've learned what matters most to me in friendships and relationships through experience and reflection."
A-R5,achievement,"I feel comfortable setting boundaries because I have a stronger sense of who I am."
A-S1,achievement,"I feel like I have a clear sense of who I am and what is important to me."
A-S2,achievement,"There was a time when I questioned a lot about myself, but that process helped me gain clarity."
A-S3,achievement,"I know there is still more to learn about myself, but I feel confident in the person I'm becoming."
A-S4,achievement,"Exploring different possibilities helped me discover a direction that feels authentic."
A-S5,achievement,"I feel grounded in my values, goals, and sense of purpose."
